date,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,median_dom,avg_sale_to_list,sold_above_list,off_market_in_two_weeks,city,zipcode,year,bank,bus,hospital,mall,park,restaurant,school,station,supermarket,Total Population,Median Age,Per Capita Income,Total Families Below Poverty,Total Housing Units,Median Rent,Median Home Value,Total Labor Force,Unemployed Population,Total School Age Population,Total School Enrollment,Median Commute Time,price,city_full
2014-06-30,180000.0,181700.0,115.93041708062056,121.16244239631337,208.0,271.0,254.0,86.0,9.0,1.0148774536664007,0.5865384615384615,0.7269372693726937,DEN,80229,2014,2.0,0.0,4.0,4.0,95.0,16.0,80.0,0.0,5.0,51123.0,29.9,19408.0,50671.0,18052.0,993.0,149000.0,26100.0,2778.0,48317.0,48317.0,22414.0,170640.73038760442,Denver-Aurora-Lakewood
2023-02-28,245000.0,253750.0,152.08333333333334,171.1716861248316,84.0,106.0,113.0,137.0,67.0,0.9774482823992244,0.2619047619047619,0.3773584905660377,CHI,60629,2023,30.0,7.0,1.0,0.0,70.0,45.0,209.0,9.0,33.0,108997.0,32.9,22823.0,108495.0,36227.0,1024.0,224500.0,51388.0,7114.0,104050.0,104050.0,41189.0,227538.16004083367,Chicago-Naperville-Elgin
2012-08-31,305000.0,155000.0,150.58309037900875,143.04117357001974,5.0,5.0,5.0,9.0,77.0,1.0171672849985556,0.2,0.0,PGH,16052,2012,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2241.0,46.9,29045.0,2238.0,1033.0,610.0,139100.0,1199.0,80.0,2199.0,2199.0,1059.0,202408.0775370226,Pittsburgh
2017-08-31,60750.0,44900.0,43.19754409901569,44.64097856543158,8.0,0.0,12.0,9.0,98.0,0.9032407205523928,0.125,0.2222222222222222,STL,62257,2017,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2734.0,51.5,28892.0,2728.0,1408.0,711.0,99800.0,1525.0,170.0,2670.0,2670.0,1248.0,79322.88704769763,St. Louis
2023-08-31,592500.0,475000.0,163.68864229415263,243.6046511627907,6.0,9.0,11.0,13.0,55.5,1.0040566302706264,0.5,0.0,NY,7114,2023,16.0,3.0,5.0,2.0,87.0,116.0,146.0,27.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441667.3233120292,New York-Newark-Jersey City
2022-12-31,259900.0,275000.0,125.0,122.69230769230768,63.0,57.0,65.0,61.0,37.0,0.9788592378929956,0.1587301587301587,0.3157894736842105,HOU,77066,2022,15.0,1.0,2.0,3.0,35.0,37.0,29.0,0.0,11.0,40053.0,33.2,24467.0,39851.0,12195.0,1347.0,173400.0,19595.0,1434.0,38658.0,38658.0,16464.0,251278.4353022811,Houston-The Woodlands-Sugar Land
2015-12-31,402500.0,449000.0,251.8230432668936,258.9622641509434,206.0,200.0,175.0,126.0,31.5,0.9617295631768252,0.0825242718446601,0.0149999999999999,NY,10314,2015,1.0,1.0,4.0,0.0,91.0,4.0,61.0,5.0,0.0,87524.0,41.5,33822.0,86465.0,32621.0,1195.0,435000.0,42886.0,2711.0,84398.0,84398.0,38574.0,414608.81525832415,New York-Newark-Jersey City
2023-06-30,460000.0,465000.0,251.8121836587129,252.9492551050808,48.0,59.0,52.0,47.0,46.0,0.9797268722747544,0.2291666666666666,0.3728813559322034,MIA,33413,2023,13.0,0.0,0.0,2.0,24.0,19.0,40.0,0.0,10.0,18125.0,35.3,29040.0,17878.0,6093.0,1942.0,344700.0,9701.0,815.0,17279.0,17279.0,7925.0,459500.5628702279,Miami-Fort Lauderdale-Pompano Beach
2022-10-31,192500.0,199900.0,108.5897435897436,76.88461538461537,2.0,1.0,1.0,1.0,7.0,0.8501750875437719,0.0,1.0,PHL,19733,2022,0.0,0.0,0.0,0.0,26.0,0.0,5.0,0.0,0.0,160.0,51.1,31037.0,160.0,107.0,1271.0,218500.0,100.0,19.0,160.0,160.0,81.0,258249.50675951017,Philadelphia-Camden-Wilmington
2020-09-30,303000.0,309950.0,181.058495821727,189.86126577448667,99.0,106.0,108.0,34.0,19.0,0.9907741731884384,0.2929292929292929,0.660377358490566,PHL,19116,2020,22.0,0.0,2.0,0.0,40.0,39.0,48.0,5.0,13.0,34747.0,43.3,28891.0,34082.0,13238.0,1042.0,240100.0,17310.0,1009.0,33436.0,33436.0,15776.0,292704.20409358974,Philadelphia-Camden-Wilmington
