date,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,median_dom,avg_sale_to_list,sold_above_list,off_market_in_two_weeks,city,zipcode,year,bank,bus,hospital,mall,park,restaurant,school,station,supermarket,Total Population,Median Age,Per Capita Income,Total Families Below Poverty,Total Housing Units,Median Rent,Median Home Value,Total Labor Force,Unemployed Population,Total School Age Population,Total School Enrollment,Median Commute Time,price,city_full
2018-05-31,445000.0,489500.0,142.83833596629805,145.90240485640905,153.0,218.0,303.0,211.0,21.0,0.9813960715770472,0.1503267973856209,0.4816513761467889,ATL,30005,2018,6.0,0.0,1.0,0.0,9.0,18.0,20.0,0.0,6.0,40488.0,37.3,50979.0,40392.0,13576.0,1392.0,395200.0,21045.0,1184.0,39289.0,39289.0,17049.0,440868.45302527136,Atlanta-Sandy Springs-Alpharetta
2017-11-30,252500.0,280000.0,94.59658814515736,98.85764499121264,253.0,292.0,261.0,311.0,53.0,0.9803517504524472,0.1383399209486166,0.2397260273972602,ATL,30019,2017,0.0,0.0,0.0,0.0,10.0,1.0,6.0,0.0,1.0,47792.0,35.6,29184.0,47733.0,14161.0,1563.0,203000.0,23624.0,1171.0,46259.0,46259.0,20562.0,256033.9954221604,Atlanta-Sandy Springs-Alpharetta
2022-11-30,485000.0,489000.0,252.1779190712085,245.706106870229,111.0,108.0,163.0,99.0,26.0,0.9851663126330544,0.2072072072072072,0.4166666666666666,ATL,30033,2022,30.0,1.0,6.0,6.0,79.0,140.0,60.0,5.0,23.0,31144.0,38.3,54851.0,29003.0,14611.0,1344.0,355500.0,17599.0,571.0,30217.0,30217.0,13973.0,445691.452271691,Atlanta-Sandy Springs-Alpharetta
2021-03-31,207882.0,232767.0,112.24782896147522,111.77631578947368,233.0,303.0,258.0,104.0,31.5,0.9972805720126348,0.4334763948497854,0.504950495049505,ATL,30038,2021,3.0,0.0,1.0,7.0,14.0,6.0,18.0,0.0,5.0,39543.0,35.5,27365.0,39095.0,15902.0,1151.0,148500.0,21255.0,1429.0,38518.0,38518.0,17756.0,202547.15489716383,Atlanta-Sandy Springs-Alpharetta
2019-12-31,350000.0,368762.5,126.36612021857924,134.5177664974619,367.0,358.0,394.0,427.0,53.0,0.9758823236946936,0.1198910081743869,0.2039106145251396,ATL,30040,2019,4.0,1.0,1.0,0.0,9.0,10.0,7.0,0.0,1.0,70510.0,36.9,38907.0,69911.0,24935.0,1247.0,295600.0,36202.0,1233.0,67556.0,67556.0,30604.0,339902.37953907734,Atlanta-Sandy Springs-Alpharetta
2019-10-31,247550.0,268000.0,108.5883514313919,111.7143797301744,228.0,251.0,317.0,253.0,26.0,0.9879071053465102,0.2149122807017543,0.3107569721115537,ATL,30047,2019,4.0,0.0,0.0,0.0,20.0,15.0,40.0,0.0,9.0,65420.0,37.9,29292.0,64848.0,21366.0,1188.0,198200.0,33991.0,1691.0,63154.0,63154.0,29427.0,240009.44425892053,Atlanta-Sandy Springs-Alpharetta
2018-12-31,229000.0,249900.0,96.87402851179108,103.45025876940772,332.0,353.0,399.0,438.0,37.0,0.99053097664617,0.2771084337349397,0.2719546742209632,ATL,30052,2018,2.0,0.0,0.0,0.0,3.0,11.0,8.0,0.0,3.0,63211.0,36.3,25662.0,62833.0,21912.0,1179.0,167200.0,31067.0,1948.0,61207.0,61207.0,27074.0,227798.8423249896,Atlanta-Sandy Springs-Alpharetta
2015-10-31,225000.0,239900.0,101.2618623120872,105.54054054054056,237.0,245.0,287.0,293.0,37.0,0.9786196366933088,0.1814345991561181,0.2897959183673469,ATL,30066,2015,7.0,0.0,0.0,0.0,17.0,14.0,22.0,0.0,4.0,52859.0,40.4,37537.0,52778.0,20800.0,1197.0,199100.0,29667.0,2428.0,51400.0,51400.0,24738.0,218129.07302437595,Atlanta-Sandy Springs-Alpharetta
2019-02-28,195000.0,297000.0,125.09832548715808,140.35087719298247,139.0,158.0,184.0,148.0,39.0,0.9660976326699994,0.1151079136690647,0.360759493670886,ATL,30067,2019,21.0,1.0,1.0,4.0,27.0,144.0,22.0,0.0,13.0,46647.0,33.4,40103.0,46263.0,21914.0,1124.0,320300.0,27203.0,1456.0,44974.0,44974.0,23471.0,269502.22431702417,Atlanta-Sandy Springs-Alpharetta
2023-02-28,251000.0,250450.0,143.57260249633543,151.82118758434547,126.0,162.0,171.0,145.0,41.0,0.9743983278660406,0.246031746031746,0.2777777777777777,ATL,30083,2023,12.0,1.0,1.0,3.0,22.0,38.0,38.0,1.0,11.0,60937.0,33.5,24644.0,60572.0,24035.0,1290.0,186600.0,31735.0,2983.0,57974.0,57974.0,25161.0,260796.3879590826,Atlanta-Sandy Springs-Alpharetta
2016-02-29,400000.0,450000.0,122.86331019193746,133.80989279085568,176.0,206.0,249.0,382.0,86.5,0.9661385420319268,0.0454545454545454,0.29126213592233,ATL,30097,2016,4.0,0.0,2.0,0.0,7.0,9.0,21.0,0.0,4.0,44256.0,40.0,43557.0,44192.0,15751.0,1281.0,353700.0,22517.0,1702.0,42744.0,42744.0,18447.0,402347.54667145695,Atlanta-Sandy Springs-Alpharetta
2016-02-29,146750.0,144900.0,74.65236392530791,77.14285714285715,20.0,32.0,26.0,34.0,141.5,0.9704392677889248,0.05,0.15625,ATL,30106,2016,3.0,0.0,1.0,0.0,22.0,4.0,18.0,0.0,4.0,19619.0,38.6,24229.0,19078.0,8814.0,904.0,115100.0,10566.0,1068.0,18873.0,18873.0,8959.0,131201.43208592772,Atlanta-Sandy Springs-Alpharetta
2018-04-30,69000.0,124900.0,50.1673640167364,95.18072289156626,13.0,21.0,17.0,16.0,52.0,0.971768485275485,0.2307692307692307,0.3333333333333333,ATL,30108,2018,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,7665.0,43.5,21756.0,7639.0,3095.0,681.0,100700.0,3541.0,305.0,7420.0,7420.0,3113.0,123560.3036639138,Atlanta-Sandy Springs-Alpharetta
2012-09-30,103000.0,74900.0,45.82344731332868,56.21800751447736,44.0,58.0,50.0,48.0,88.5,0.9560921394439024,0.159090909090909,0.1206896551724138,ATL,30110,2012,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,12671.0,38.0,20947.0,12558.0,5308.0,702.0,115800.0,6169.0,1002.0,12194.0,12194.0,4906.0,84921.56372379539,Atlanta-Sandy Springs-Alpharetta
2018-09-30,154100.0,215914.0,95.65217391304348,97.80284615384616,53.0,47.0,77.0,70.0,15.5,0.9852207719422236,0.2641509433962264,0.4893617021276595,ATL,30110,2018,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,12969.0,38.8,24125.0,12819.0,5374.0,688.0,125100.0,5962.0,337.0,12510.0,12510.0,5408.0,156486.36407561568,Atlanta-Sandy Springs-Alpharetta
2014-02-28,184250.0,225105.0,80.53312121694417,89.21727746363669,184.0,261.0,303.0,425.0,65.0,0.9760774101528842,0.1684782608695652,0.1417624521072797,ATL,30114,2014,0.0,0.0,2.0,0.0,13.0,2.0,12.0,0.0,0.0,50138.0,37.4,28031.0,49877.0,19284.0,845.0,219900.0,25752.0,2189.0,48315.0,48315.0,21065.0,197267.2500004744,Atlanta-Sandy Springs-Alpharetta
2015-07-31,115000.0,125000.0,63.59044801352493,71.10352673492605,152.0,205.0,333.0,360.0,44.0,0.9691993845646046,0.2368421052631578,0.2780487804878049,ATL,30134,2015,0.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0,3.0,44322.0,33.7,21486.0,43433.0,16786.0,936.0,111200.0,20734.0,2446.0,42619.0,42619.0,17151.0,118272.26489700862,Atlanta-Sandy Springs-Alpharetta
2022-07-31,349000.0,349999.0,159.35057125676488,160.86747163322227,332.0,369.0,495.0,282.0,15.0,1.0124827544388073,0.5331325301204819,0.5203252032520325,ATL,30135,2022,8.0,0.0,2.0,3.0,7.0,33.0,17.0,0.0,7.0,66599.0,38.4,33850.0,66111.0,23528.0,1305.0,191400.0,33701.0,2130.0,64690.0,64690.0,27760.0,326655.0298267748,Atlanta-Sandy Springs-Alpharetta
2014-08-31,115500.0,131200.0,65.82054309327036,78.08865366914902,106.0,140.0,168.0,155.0,33.5,0.971814212741374,0.150943396226415,0.2642857142857142,ATL,30141,2014,5.0,0.0,1.0,0.0,2.0,4.0,8.0,0.0,5.0,21935.0,35.6,24210.0,21873.0,8508.0,992.0,131600.0,11628.0,1080.0,20973.0,20973.0,9902.0,150404.32064452674,Atlanta-Sandy Springs-Alpharetta
2018-01-31,180000.0,190000.0,99.59198117860596,100.03573981415298,230.0,267.0,257.0,219.0,39.5,0.982814189736376,0.217391304347826,0.3033707865168539,ATL,30157,2018,4.0,0.0,1.0,0.0,19.0,6.0,6.0,0.0,3.0,48747.0,34.8,24151.0,48619.0,17580.0,1072.0,136600.0,25036.0,1206.0,46637.0,46637.0,22094.0,172347.34208385154,Atlanta-Sandy Springs-Alpharetta
2013-02-28,60000.0,74900.0,37.96618597712581,43.994720633523976,53.0,100.0,82.0,70.0,20.0,1.0471051527781357,0.5471698113207547,0.32,ATL,30168,2013,0.0,0.0,0.0,0.0,14.0,2.0,13.0,0.0,0.0,26110.0,29.3,17264.0,26047.0,10549.0,857.0,113800.0,13771.0,1936.0,24162.0,24162.0,11133.0,64547.31587586383,Atlanta-Sandy Springs-Alpharetta
2018-09-30,139050.0,150450.0,79.00112233445564,95.7229389553178,36.0,30.0,32.0,37.0,27.5,0.9714093786447876,0.1944444444444444,0.2333333333333333,ATL,30204,2018,0.0,0.0,0.0,2.0,0.0,2.0,10.0,0.0,1.0,12714.0,38.2,19955.0,11482.0,5206.0,632.0,129500.0,5516.0,646.0,12419.0,12419.0,4560.0,129052.87998443404,Atlanta-Sandy Springs-Alpharetta
2016-08-31,280000.0,299000.0,98.62385321100916,102.15719832618548,259.0,291.0,281.0,268.0,33.0,0.98183724492993,0.1583011583011582,0.3195876288659793,ATL,30215,2016,0.0,0.0,1.0,0.0,2.0,2.0,6.0,0.0,0.0,33614.0,43.8,38404.0,33593.0,12225.0,1095.0,224400.0,16928.0,1020.0,32877.0,32877.0,14689.0,252662.5489189322,Atlanta-Sandy Springs-Alpharetta
2015-06-30,105000.0,125000.0,72.72030651340995,85.41548811923892,17.0,19.0,37.0,37.0,65.0,0.9487674617855908,0.1176470588235294,0.4210526315789473,ATL,30220,2015,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,5077.0,33.4,20486.0,5026.0,1924.0,983.0,112400.0,2316.0,222.0,4878.0,4878.0,2044.0,108455.57669388335,Atlanta-Sandy Springs-Alpharetta
2020-06-30,191820.5,219000.0,102.88774882101174,108.3415691689073,88.0,117.0,127.0,111.0,38.0,0.9801791444370372,0.1931818181818181,0.3162393162393162,ATL,30233,2020,0.0,0.0,1.0,0.0,2.0,1.0,11.0,0.0,0.0,23821.0,38.6,27701.0,20788.0,9353.0,844.0,143500.0,9583.0,514.0,23191.0,23191.0,8490.0,178776.07728637502,Atlanta-Sandy Springs-Alpharetta
