zipcode	count	mean	median
1431	142	281157.3943661972	262475.0
75142	142	185611.89788732395	170000.0
75203	142	163794.04225352113	168000.0
75202	142	221378.41549295775	228250.0
75201	142	634989.7816901408	610000.0
75189	142	236764.1338028169	234997.5
75182	142	448800.3767605634	443790.25
75181	142	216152.54577464788	208000.0
75180	142	145220.0704225352	145550.0
75173	142	256530.4894366197	246225.0
75172	142	143005.96830985916	130950.0
75167	142	302091.1267605634	274800.0
75166	142	257180.39084507042	246000.0
75165	142	237255.21830985916	226937.0
75161	142	223480.92605633804	200975.0
75160	142	174385.87676056338	169225.0
75159	142	181384.8415492958	169975.0
75158	142	224283.13732394367	217000.0
75154	142	241621.61971830987	236450.0
75152	142	197464.63732394367	185000.0
75150	142	170711.8309859155	165500.0
75149	142	156459.45774647887	153112.5
75146	142	183042.71126760563	174500.0
75204	142	379728.53169014084	383500.0
75205	142	1140119.0211267606	1070000.0
75206	142	436056.2147887324	425000.0
75220	142	410933.4718309859	391000.0
75231	142	226925.88732394367	210000.0
75230	142	627342.5176056338	615475.0
75229	142	449447.15845070424	436500.0
75228	142	212844.46126760563	220000.0
75227	142	154702.4295774648	146500.0
75226	142	353301.2676056338	390500.0
75225	142	1090631.2147887324	1107150.0
75224	142	190468.70070422534	202330.0
75223	142	370346.8169014084	384000.0
75219	142	301329.95774647885	295000.0
75208	142	383509.25352112675	385450.0
75218	142	379702.0598591549	375375.0
75217	142	130628.74647887323	139850.0
75216	142	118730.50352112677	124575.25
75215	142	125045.0	126750.0
75214	142	525611.9718309859	507500.0
75212	142	205460.83450704225	171250.0
75211	142	174455.61267605633	171475.0
75210	142	99518.26056338029	77775.0
75209	142	641798.7288732395	625000.0
75143	142	186624.03873239437	167300.0
75141	142	155310.4471830986	155000.0
75038	142	291358.088028169	280000.0
75137	142	191444.0105633803	181250.0
75070	142	318963.79225352115	310125.0
75069	142	323264.42253521126	309500.0
75068	142	287217.9823943662	278340.0
75067	142	250720.80985915492	247100.0
75065	142	263035.3908450704	247250.0
75063	142	365980.11971830984	362200.0
75062	142	205387.838028169	197450.0
75061	142	202524.12323943662	185750.0
75060	142	189160.46126760563	184500.0
75057	142	217791.22183098592	212019.25
75056	142	319770.42253521126	318100.0
75054	142	336588.3028169014	329000.0
75052	142	219307.20070422534	213850.0
75051	142	163378.338028169	156000.0
75050	142	191827.89436619717	178750.0
75048	142	297930.19366197183	287850.0
75044	142	237372.28169014084	230525.0
75043	142	197677.56690140846	193875.0
75042	142	182859.12323943662	174000.0
75041	142	172288.30985915492	165875.0
75040	142	194256.08450704225	197000.0
75071	142	342383.8556338028	327181.25
75072	142	354692.4330985916	324950.0
75074	142	263690.1091549296	264747.5
75098	142	288469.2711267606	286672.5
